Date,SPY,SPUU
2022-06-06,0.0030447939801245827,0.0062441872478755656
2022-06-07,0.009592215286591932,0.017679294703726534
2022-06-08,-0.010872136966224355,-0.021859041420637992
2022-06-09,-0.023782989553832956,-0.04669496776443882
2022-06-10,-0.02899555405316967,-0.05934604163757817
2022-06-13,-0.03796821013506435,-0.07476393228913703
2022-06-14,-0.0030134915859968414,-0.007371575699164246
2022-06-15,0.014256418356108691,0.028706013291736054
2022-06-16,-0.03309598588460683,-0.06455649789741102
2022-06-17,0.0021556231562347428,0.0010388815251691774
2022-06-21,0.025173691634382545,0.05055596609129687
2022-06-22,-0.0018129158531272616,-0.0026811160706928794
2022-06-23,0.009802590568961378,0.02122513796761072
2022-06-24,0.031793796225119575,0.06193716891450696
2022-06-27,-0.0038196753813083406,-0.009263967812786378
