Date,Advancers,Decliners,Neutral
1996-06-17,282,320,178
1996-06-18,268,336,176
1996-06-19,260,340,180
1996-06-20,246,363,171
1996-06-21,352,257,171
1996-06-24,350,255,175
1996-06-25,298,316,166
1996-06-26,221,404,155
1996-06-27,350,259,171
1996-06-28,434,224,123
1996-07-01,382,243,157
1996-07-02,310,303,169
1996-07-03,283,293,206
1996-07-05,92,542,148
1996-07-08,197,420,165
1996-07-09,361,250,171
1996-07-10,256,366,160
1996-07-11,127,532,123
1996-07-12,276,322,184
1996-07-15,109,543,130
1996-07-16,164,479,139
1996-07-17,457,175,150
1996-07-18,478,178,126
1996-07-19,233,388,161
1996-07-22,156,439,187
1996-07-23,169,450,163
1996-07-24,150,486,146
1996-07-25,413,204,165
1996-07-26,389,212,181
1996-07-29,224,389,169
1996-07-30,379,233,170
1996-07-31,403,223,156
1996-08-01,508,132,142
1996-08-02,528,117,137
1996-08-05,315,300,167
1996-08-06,320,282,180
1996-08-07,363,272,147
1996-08-08,268,307,207
1996-08-09,317,278,188
1996-08-12,341,268,175
1996-08-13,213,405,166
1996-08-14,390,224,170
1996-08-15,312,277,195
1996-08-16,393,209,182
1996-08-19,322,271,191
1996-08-20,325,263,196
1996-08-21,276,317,191
1996-08-22,381,220,183
1996-08-23,265,344,175
1996-08-26,253,349,182
1996-08-27,347,234,203
1996-08-28,343,258,183
1996-08-29,203,421,160
1996-08-30,183,424,177
1996-09-03,265,333,187
1996-09-04,372,239,174
1996-09-05,193,418,174
1996-09-06,425,169,191
1996-09-09,398,206,181
1996-09-10,301,290,194
1996-09-11,328,265,192
1996-09-12,391,212,182
1996-09-13,433,196,156
1996-09-16,385,236,164
1996-09-17,239,380,166
1996-09-18,262,360,164
1996-09-19,289,331,166
1996-09-20,369,232,185
1996-09-23,222,392,172
1996-09-24,337,258,191
1996-09-25,296,308,182
1996-09-26,344,268,175
1996-09-27,335,246,207
1996-09-30,351,258,179
1996-10-01,321,274,193
1996-10-02,436,186,166
1996-10-03,276,321,191
1996-10-04,453,190,145
1996-10-07,295,316,177
1996-10-08,259,377,152
1996-10-09,202,393,193
1996-10-10,289,335,164
1996-10-11,391,195,202
1996-10-14,328,279,181
1996-10-15,298,313,177
1996-10-16,295,306,187
1996-10-17,364,251,174
1996-10-18,362,254,173
1996-10-21,305,334,150
1996-10-22,216,403,170
1996-10-23,273,344,172
1996-10-24,276,316,198
1996-10-25,279,306,205
1996-10-28,215,399,177
1996-10-29,341,278,172
1996-10-30,288,304,200
1996-10-31,397,215,180
1996-11-01,289,329,174
1996-11-04,361,255,177
1996-11-05,375,243,175
1996-11-06,471,181,141
1996-11-07,362,270,161
1996-11-08,341,276,177
1996-11-11,358,251,185
1996-11-12,331,284,179
1996-11-13,344,280,170
1996-11-14,384,246,164
1996-11-15,328,278,188
1996-11-18,309,295,191
1996-11-19,379,284,138
1996-11-20,329,289,183
1996-11-21,279,323,199
1996-11-22,395,247,159
1996-11-25,445,204,153
1996-11-26,270,371,161
1996-11-27,320,324,159
1996-11-29,324,262,218
1996-12-02,307,319,178
1996-12-03,291,353,160
1996-12-04,250,397,157
1996-12-05,324,317,163
1996-12-06,139,526,139
1996-12-09,502,163,139
1996-12-10,356,288,160
1996-12-11,108,569,127
1996-12-12,222,443,140
1996-12-13,247,407,151
1996-12-16,238,435,132
1996-12-17,327,324,154
1996-12-18,408,239,159
1996-12-19,495,175,137
1996-12-20,415,238,154
1996-12-23,286,359,162
1996-12-24,336,232,239
1996-12-26,425,194,188
1996-12-27,387,235,185
1996-12-30,354,274,179
1996-12-31,304,358,145
1997-01-02,185,500,122
1997-01-03,458,195,154
1997-01-06,366,295,146
1997-01-07,386,275,146
1997-01-08,285,367,155
1997-01-09,429,216,162
1997-01-10,312,335,161
1997-01-13,349,329,130
1997-01-14,459,200,149
1997-01-15,318,357,133
1997-01-16,345,312,151
1997-01-17,394,241,173
1997-01-20,317,320,171
1997-01-21,340,313,155
1997-01-22,304,341,163
1997-01-23,271,394,143
1997-01-24,242,420,146
1997-01-27,239,419,150
1997-01-28,374,249,185
1997-01-29,336,312,161
1997-01-30,413,229,169
1997-01-31,383,271,157
1997-02-03,365,285,161
1997-02-04,321,320,170
1997-02-05,240,429,144
1997-02-06,319,307,187
1997-02-07,415,227,171
1997-02-10,295,353,166
1997-02-11,328,302,184
1997-02-12,477,193,144
1997-02-13,446,207,161
1997-02-14,319,348,147
1997-02-18,395,260,160
1997-02-19,298,372,145
1997-02-20,222,455,138
1997-02-21,331,304,180
1997-02-24,393,264,158
1997-02-25,359,284,172
1997-02-26,227,455,133
1997-02-27,245,428,142
1997-02-28,243,402,170
